INFO  - 2018-03-26 17:40:33.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2018-03-26 17:40:33.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2018-03-26 17:40:33.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2018-03-26 17:40:33.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2018-03-26 17:40:33.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2018-03-26 17:40:33.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2018-03-26 17:40:33.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2018-03-26 17:40:33.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2018-03-26 17:40:33.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
